name,salary,url
Специалист группы проактивного мониторинга,"['min', 85000, '₽']",https://novosibirsk.hh.ru/vacancy/111486573?query=Python&hhtmFrom=vacancy_search_list
Аналитик (развитие отчетности),[],https://novosibirsk.hh.ru/vacancy/110607848?query=Python&hhtmFrom=vacancy_search_list
HR-аналитик,"['min', 120000, '₽']",https://novosibirsk.hh.ru/vacancy/111495138?query=Python&hhtmFrom=vacancy_search_list
TeamLead исследовательских ML проектов,[],https://novosibirsk.hh.ru/vacancy/109261198?query=Python&hhtmFrom=vacancy_search_list
Инженер Академии Eltex,[],https://novosibirsk.hh.ru/vacancy/107420649?query=Python&hhtmFrom=vacancy_search_list
Продуктовый аналитик Social,[],https://novosibirsk.hh.ru/vacancy/111781953?query=Python&hhtmFrom=vacancy_search_list
Аналитик по информационной безопасности (DLP),[],https://novosibirsk.hh.ru/vacancy/106898780?query=Python&hhtmFrom=vacancy_search_list
Продуктовый аналитик в Карту,[],https://novosibirsk.hh.ru/vacancy/111783198?query=Python&hhtmFrom=vacancy_search_list
Аналитик данных,[],https://novosibirsk.hh.ru/vacancy/110913154?query=Python&hhtmFrom=vacancy_search_list
Разработчик CV ML - CV ML Developer,"['min', 80000, 'max', 120000, '₽']",https://novosibirsk.hh.ru/vacancy/111389261?query=Python&hhtmFrom=vacancy_search_list
QA Engineer,[],https://novosibirsk.hh.ru/vacancy/109703121?query=Python&hhtmFrom=vacancy_search_list
Computer vision engineer,[],https://novosibirsk.hh.ru/vacancy/109167710?query=Python&hhtmFrom=vacancy_search_list
ML Lead,[],https://novosibirsk.hh.ru/vacancy/106227830?query=Python&hhtmFrom=vacancy_search_list
Инженер баз данных / DBA,[],https://novosibirsk.hh.ru/vacancy/111883252?query=Python&hhtmFrom=vacancy_search_list
Преподаватель по машинному обучению,[],https://novosibirsk.hh.ru/vacancy/107853700?query=Python&hhtmFrom=vacancy_search_list
Middle QA Engineer в команду Machine learning,[],https://novosibirsk.hh.ru/vacancy/111276755?query=Python&hhtmFrom=vacancy_search_list
Инженер (k8s),[],https://novosibirsk.hh.ru/vacancy/108779305?query=Python&hhtmFrom=vacancy_search_list
1С Программист (Middle / Middle+),"['min', 120000, 'max', 180000, '₽']",https://novosibirsk.hh.ru/vacancy/109664702?query=Python&hhtmFrom=vacancy_search_list
Ведущий аналитик,"['min', 140000, '₽']",https://novosibirsk.hh.ru/vacancy/109735106?query=Python&hhtmFrom=vacancy_search_list
Архитектор,[],https://novosibirsk.hh.ru/vacancy/107359065?query=Python&hhtmFrom=vacancy_search_list
SIEM Expert,[],https://novosibirsk.hh.ru/vacancy/102150914?query=Python&hhtmFrom=vacancy_search_list
DevOps инженер,[],https://novosibirsk.hh.ru/vacancy/102276759?query=Python&hhtmFrom=vacancy_search_list
Системный программист С / разработка форка PostgreSQL,[],https://novosibirsk.hh.ru/vacancy/106109982?query=Python&hhtmFrom=vacancy_search_list
Hardware Security Engineer,[],https://novosibirsk.hh.ru/vacancy/109020506?query=Python&hhtmFrom=vacancy_search_list
C++ Team Lead в 3D Карту,[],https://novosibirsk.hh.ru/vacancy/100317420?query=Python&hhtmFrom=vacancy_search_list
Ведущий системный администратор Linux (офис в Кольцово),"['min', 90000, 'max', 160000, '₽']",https://novosibirsk.hh.ru/vacancy/87929081?query=Python&hhtmFrom=vacancy_search_list
Ведущий инженер (приборостроение или радиоэлектроника),[],https://novosibirsk.hh.ru/vacancy/90665386?query=Python&hhtmFrom=vacancy_search_list
Инженер-разработчик С++ в Телеметрию,[],https://novosibirsk.hh.ru/vacancy/101116131?query=Python&hhtmFrom=vacancy_search_list
Главный специалист виртуализации рабочих мест,[],https://novosibirsk.hh.ru/vacancy/104367345?query=Python&hhtmFrom=vacancy_search_list
